Hospital,Province,Latitude,Longitude,Active in 2023?,Clinical capacity,Beds
Acıbadem Üniversitesi Özel Acıbadem Atakent Hastanesi,Istanbul,41.0351583,28.7789001,3,3,262
Altınbaş Üniversitesi Medical Park Bahçelievler Hastanesi,Istanbul,40.9959154,28.8633420,3,3,242
Ankara Üniversitesi Ağız ve Diş Sağlığı Hastanesi,Ankara,39.9373340,32.8248541,3,1,13
Avrasya Hastanesi,Istanbul,41.0767719,28.9066215,3,3,135
Bahçeşehir Üniversitesi Medical Park Göztepe Hastanesi,Istanbul,40.9899712,29.0774765,3,3,357
Başkent Üniversitesi İstanbul Sağlık Uygulama Ve Araştırma Merkezi,Istanbul,41.0241316,29.0410089,3,3,126
Başkent Üniversitesi Konya Hastanesi,Konya,37.8843748,32.4564588,3,3,280
BHT CLINIC Istanbul Tema Hospital,Istanbul,41.0595530,28.7743765,3,3,450
Biruni Üniversitesi Tıp Fakültesi Hastanesi,Istanbul,40.9981144,28.7965119,3,3,300
Çorum Özel Hastanesi,Çorum,40.5721532,34.9625686,3,3,130
Cumhuriyet Üniversitesi Sağlık Hizmetleri Eğitim ve Araştırma Hastanesi,Sivas,39.7095928,37.0296839,3,3,1081
Ensar Hospital,Istanbul,41.0498775,28.8757192,3,2,30
İstanbul Aydın Üniversitesi VM Medical Park Florya Hastanesi,Istanbul,40.9903565,28.7973114,3,3,250
İstanbul Bezmialem Vakıf Üniversitesi Sağlık Uygulama Ve Araştırma Merkezi,Istanbul,41.0190691,28.9358422,3,3,750
Istanbul Okan University Hospital,Istanbul,40.8490131,29.3016463,3,3,300
İstanbul Üniversitesi-Cerrahpaşa Cerrahpaşa Hastanesi,Istanbul,40.9709952,28.8069003,1,3,960
İstanbul Yeditepe Üniversitesi Ağız ve Diş Sağlığı Uygulama Ve Araştırma Merkezi,Istanbul,41.0035552,28.9395885,3,1,2
İstinye Üniversitesi Bahçeşehir Liv Hospital,Istanbul,41.0563190,28.6718158,3,3,187
İstinye Üniversitesi Medical Park Gaziosmanpaşa Hastanesi,Istanbul,41.0589305,28.9079315,3,3,571
Kağıthane Kızılay Hospital,Istanbul,41.0827371,28.9708335,3,2,75
Kartal Kızılay Hospital,Istanbul,40.8909090,29.1818225,3,2,54
Kayseri Kızılay Hospital,Kayseri,38.7134260,35.4931183,3,2,52
Koç Üniversitesi Hastanesi,Istanbul,41.0237098,28.9174188,3,3,426
Konya Kızılay Hospital,Konya,37.8668379,32.4992934,3,2,55
Medistanbul Hospital,Istanbul,41.0931665,28.9049301,3,3,110
Memorial Şişli Hastanesi,Istanbul,41.0615255,28.9723945,3,3,252
Özel Hüma Kadın Hastalıkları ve Doğum Hastanesi,Kayseri,38.7134102,35.4955019,3,2,52
Özel Acıbadem Altunizade Hastanesi,Istanbul,41.0192005,29.0456596,3,3,316
